eruptionID,year,waiting_min,dur
24899,1970,75.0,4.25
24900,1970,43.0,2.0
24901,1970,79.0,3.25
24902,1970,43.0,1.5
24903,1970,77.0,3.75
24910,1970,39.0,1.5
24911,1970,74.0,4.25
24912,1970,49.0,2.0
24913,1970,72.0,3.0
24914,1970,55.0,2.5
24915,1970,72.0,4.25
24916,1970,67.0,2.25
24917,1970,69.0,3.75
24918,1970,45.0,1.5
24919,1970,71.0,4.0
24920,1970,48.0,2.0
24921,1970,78.0,4.0
24930,1970,65.0,3.25
24931,1970,69.0,3.0
24932,1970,41.0,1.75
24933,1970,79.0,4.5
24934,1970,46.0,1.75
24935,1970,72.0,4.5
24936,1970,62.0,3.25
24937,1970,59.0,1.75
24938,1970,75.0,4.25
24939,1970,55.0,1.75
24940,1970,71.0,4.75
24941,1970,53.0,2.0
24952,1970,73.0,4.5
24953,1970,54.0,1.75
24954,1970,76.0,4.25
24955,1970,49.0,2.0
24956,1970,75.0,4.25
24957,1970,50.0,2.0
24958,1970,71.0,4.25
24959,1970,64.0,3.5
24960,1970,75.0,4.5
24961,1970,47.0,2.0
24962,1970,75.0,4.0
24963,1970,48.0,2.25
24971,1970,49.0,2.0
24972,1970,80.0,4.5
24973,1970,43.0,2.5
24974,1970,75.0,4.0
24975,1970,45.0,1.75
24976,1970,75.0,4.25
24977,1970,42.0,1.5
24978,1970,74.0,4.5
24979,1970,46.0,1.75
24980,1970,79.0,4.0
24981,1970,46.0,2.0
24982,1970,71.0,4.0
24991,1970,70.0,3.0
24992,1970,51.0,3.0
24993,1970,74.0,4.25
24994,1970,44.0,1.75
24995,1970,89.0,4.25
24996,1970,42.0,2.0
24997,1970,70.0,4.25
24998,1970,51.0,2.0
24999,1970,86.0,4.0
25000,1970,42.0,2.0
25001,1970,73.0,4.0
25002,1970,58.0,3.25
25010,1970,44.0,2.0
25011,1970,83.0,3.75
25012,1970,42.0,1.75
25013,1970,85.0,4.0
25014,1970,45.0,1.75
25016,1970,109.0,1.75
25017,1970,44.0,1.5
25018,1970,82.0,4.0
25019,1970,43.0,1.88
25020,1970,72.0,4.25
25021,1970,65.0,3.5
25022,1970,45.0,1.75
25028,1970,54.0,2.0
25029,1970,72.0,3.75
25030,1970,63.0,3.0
25031,1970,76.0,4.0
25032,1970,65.0,4.5
25033,1970,51.0,2.0
25034,1970,72.0,4.0
25035,1970,58.0,2.25
25036,1970,74.0,4.5
25037,1970,50.0,2.0
25038,1970,72.0,4.0
25050,1970,73.0,2.75
25051,1970,45.0,2.0
25052,1970,69.0,3.5
25053,1970,65.0,3.25
25054,1970,64.0,3.75
25055,1970,71.0,4.0
25056,1970,54.0,2.0
25057,1970,79.0,4.5
25058,1970,54.0,1.5
