eruptionID,year,waiting_min,dur
1096478,1993,57.0,2.34
1096481,1993,94.0,4.43
1096482,1993,83.0,4.08
1096483,1993,59.0,1.53
1096484,1993,96.0,4.37
1096485,1993,91.0,4.07
1096486,1993,86.0,4.13
1096492,1993,47.0,1.44
1096493,1993,101.0,4.17
1096494,1993,85.0,4.3
1096495,1993,62.0,2.03
1096496,1993,91.0,4.55
1096497,1993,64.0,1.51
1096498,1993,96.0,4.28
1096499,1993,50.0,1.43
1096501,1993,87.0,4.14
1096502,1993,85.0,5.04
1096504,1993,52.0,1.57
1096505,1993,96.0,4.24
1096506,1993,45.0,1.51
1096507,1993,88.0,4.34
1096511,1993,82.0,4.23
1096512,1993,64.0,1.56
1096513,1993,93.0,4.28
1096514,1993,60.0,2.02
1096515,1993,97.0,4.4
1096516,1993,82.0,3.5
1096521,1993,49.0,1.39
1096522,1993,88.0,4.03
1096523,1993,51.0,1.59
1096524,1993,90.0,4.49
1096525,1993,53.0,1.4
1096526,1993,88.0,4.28
1096527,1993,45.0,1.56
1096533,1993,84.0,4.36
1096534,1993,57.0,2.04
1096535,1993,96.0,4.21
1096537,1993,110.0,4.2
1096538,1993,57.0,4.15
1099056,1993,84.0,4.52
1099057,1993,65.0,2.59
1099058,1993,92.0,4.43
1099059,1993,71.0,2.16
1099060,1993,91.0,4.38
1099061,1993,64.0,1.48
1099063,1993,89.0,4.17
1099064,1993,56.0,2.25
1099065,1993,99.0,4.53
1099066,1993,81.0,3.36
1099067,1993,76.0,4.25
1099069,1993,53.0,1.42
1099071,1993,84.0,4.09
1099072,1993,56.0,2.09
1099073,1993,84.0,5.04
1099074,1993,62.0,1.54
1099075,1993,105.0,4.42
1099076,1993,50.0,1.59
1099077,1993,87.0,4.44
1099080,1993,76.0,4.05
1099081,1993,85.0,4.05
1099082,1993,82.0,3.44
1099083,1993,83.0,4.15
1099084,1993,91.0,4.08
1099086,1993,75.0,3.32
1099087,1993,95.0,4.03
1099088,1993,75.0,4.12
1099089,1993,91.0,4.1
1099090,1993,95.0,3.43
1099094,1993,86.0,4.42
1099095,1993,74.0,3.15
1099096,1993,92.0,4.26
1099097,1993,86.0,3.56
1099098,1993,78.0,3.58
1099099,1993,56.0,1.47
1099100,1993,96.0,4.32
1099102,1993,96.0,4.12
1099103,1993,82.0,3.27
1099104,1993,88.0,4.34
1099105,1993,85.0,3.35
1099106,1993,80.0,4.25
1099107,1993,58.0,1.58
1099108,1993,97.0,4.4
1099109,1993,93.0,3.39
1099110,1993,82.0,4.03
1099113,1993,64.0,1.47
1099114,1993,95.0,4.58
1099115,1993,65.0,1.54
1099116,1993,83.0,4.38
1099117,1993,89.0,3.59
1099118,1993,85.0,4.16
1099119,1993,53.0,1.5
1099120,1993,92.0,5.11
1099121,1993,51.0,2.04
1099122,1993,98.0,4.14
1099124,1993,62.0,2.03
1099125,1993,86.0,4.3
1099126,1993,64.0,2.07
1099127,1993,90.0,4.21
1099128,1993,63.0,1.45
1099129,1993,84.0,4.35
1099130,1993,81.0,4.12
1099131,1993,74.0,3.51
1099132,1993,58.0,2.32
1099134,1993,58.0,2.04
1099135,1993,88.0,4.45
1099136,1993,70.0,2.02
1099137,1993,85.0,4.3
1099138,1993,63.0,1.44
1099139,1993,92.0,4.3
1099140,1993,60.0,1.57
1099141,1993,86.0,4.21
1099142,1993,51.0,1.5
1099144,1993,90.0,4.53
1099145,1993,60.0,1.44
1099146,1993,88.0,4.3
1099147,1993,71.0,2.32
1099148,1993,90.0,4.32
1099149,1993,57.0,2.06
1099150,1993,96.0,4.3
1099151,1993,81.0,4.01
1099152,1993,86.0,4.28
1099155,1993,68.0,2.0
1099156,1993,94.0,4.26
1099157,1993,66.0,2.02
1099158,1993,97.0,4.34
1099159,1993,58.0,1.52
1099160,1993,85.0,4.17
1099161,1993,66.0,2.15
1099162,1993,86.0,4.25
1099163,1993,75.0,2.11
1099164,1993,80.0,4.28
1099167,1993,63.0,1.56
1099168,1993,91.0,4.26
1099169,1993,60.0,2.07
