Date,Geyser,time,duration,,,,,,,,,,
2/11/1979,Old Faithful,16:56,4:18,,,,,,,,,,
2/11/1979,Old Faithful,18:14,4:21,,,,,,,,,,
2/11/1979,Old Faithful,19:29,2:18,,,,,,,,,,
2/11/1979,Old Faithful,20:30,4:44,,,,,,,,,,
2/11/1979,Old Faithful,21:55,2:25,,,,,,,,,,
2/12/1979,Old Faithful,8:45,3:45,,,,,,,,,,
2/12/1979,Old Faithful,10:06,4:20,,,,,,,,,,
2/12/1979,Old Faithful,11:26,~1:50,,,,,,,,,,
2/12/1979,Old Faithful,12:14,4:30,,,,,,,,,,
2/12/1979,Old Faithful,13:39,1:56,,,,,,,,,,
2/12/1979,Old Faithful,14:29,4:25,,,,,,,,,,
2/12/1979,Old Faithful,15:46,~3:38,,,,,,,,,,
2/12/1979,Old Faithful,17:07,3:41,,,,,,,,,,
2/13/1979,Old Faithful,9:07,3:37,,,,,,,,,,
2/13/1979,Old Faithful,10:25,4:17,,,,,,,,,,
2/13/1979,Old Faithful,11:45,4:25,,,,,,,,,,
2/13/1979,Old Faithful,13:00,3:50,,,,,,,,,,
2/13/1979,Old Faithful,14:19,4:28,,,,,,,,,,
2/13/1979,Old Faithful,15:30,3:47,,,,,,,,,,
2/13/1979,Old Faithful,16:52,4:19,,,,,,,,,,
2/14/1979,Old Faithful,8:38,4:07,,,,,,,,,,
2/14/1979,Old Faithful,9:50,4:03,,,,,,,,,,
2/14/1979,Old Faithful,11:05,4:09,,,,,,,,,,
2/14/1979,Old Faithful,12:14,4:17,,,,,,,,,,
2/14/1979,Old Faithful,13:38,3:54,,,,,,,,,,
2/14/1979,Old Faithful,14:45,4:21,,,,,,,,,,
2/14/1979,Old Faithful,15:55,4:02,,,,,,,,,,
2/14/1979,Old Faithful,17:15,4:24,,,,,,,,,,
2/14/1979,Old Faithful,18:27,Long,,,,,,,,,,
2/14/1979,Old Faithful,19:45,Short,,,,,,,,,,
2/15/1979,Old Faithful,8:06,,,,,,,,,,,
2/15/1979,Old Faithful,9:04,4:28,,,,,,,,,,
2/15/1979,Old Faithful,10:26,2:02,,,,,,,,,,
2/15/1979,Old Faithful,11:20,4:25,,,,,,,,,,
2/15/1979,Old Faithful,12:47,~1:50shrt,,,,,,,,,,
2/15/1979,Old Faithful,13:36,4:23,,,,,,,,,,
2/15/1979,Old Faithful,15:02,2:21,,,,,,,,,,
2/15/1979,Old Faithful,16:03,4:50,,,,,,,,,,
2/15/1979,Old Faithful,17:22,4:03,,,,,,,,,,
2/15/1979,Old Faithful,18:38,4:38,,,,,,,,,,
2/15/1979,Old Faithful,19:59,4:18,,,,,,,,,,
2/16/1979,Old Faithful,8:53,4:25,,,,,,,,,,
2/16/1979,Old Faithful,10:08,3:43,,,,,,,,,,
2/16/1979,Old Faithful,11:28,4:10,,,,,,,,,,
2/16/1979,Old Faithful,12:44,~2 1/2shrt,,,,,,,,,,
2/16/1979,Old Faithful,13:47,4:04,,,,,,,,,,
2/16/1979,Old Faithful,15:04,4:10,,,,,,,,,,
2/16/1979,Old Faithful,16:31,4:25,,,,,,,,,,
2/16/1979,Old Faithful,17:38,4:32,,,,,,,,,,
2/16/1979,Old Faithful,18:58,2:22,,,,,,,,,,
2/16/1979,Old Faithful,19:57,5:01,,,,,,,,,,
2/16/1979,Old Faithful,21:22,1:54,,,,,,,,,,
2/17/1979,Old Faithful,7:34,4:31,,,,,,,,,,
2/17/1979,Old Faithful,8:47,3:40,,,,,,,,,,
2/17/1979,Old Faithful,9:58,4:12,,,,,,,,,,
2/17/1979,Old Faithful,11:21,2:23,,,,,,,,,,
2/17/1979,Old Faithful,12:26,4:28,,,,,,,,,,
2/17/1979,Old Faithful,13:52,4:04,,,,,,,,,,
2/17/1979,Old Faithful,15:08,1:42,,,,,,,,,,
